Title-题名,Author-作者,Organ-单位,Source-文献来源,Keyword-关键词
农业机械节能与环保技术研究与应用,孙艳艳,青海大学;,河北农机,农业机械;;节能技术;;环保技术;;智能化
低碳环保约束下人工智能在电商创新发展中的应用,宋培森; 于本成; 龙浩,徐州工业职业技术学院;,环境工程,
总体国家安全观视域下城市数据安全治理研究,冯旭,兰州大学,兰州大学,总体国家安全观;;数据安全;;城市治理;;数字化转型;;治理现代化
人工智能技术在现代农业机械中的应用研究,胡庆松,浙江省兰溪市香溪镇人民政府;,南方农机,人工智能;;农业机械;;应用前景
郑州市人民政府关于印发郑州市“十四五”战略性新兴产业发展总体规划(2021—2025年)的通知,,,郑州市人民政府公报,
技术赋能背景下环境法范式转型研究,黎梦兵,湘潭大学,湘潭大学,环境法范式;;技术赋能;;范式转型;;智慧型环境法范式
环保数字产业化的模式研究与对策建议,于小溪,河北经贸大学,河北经贸大学,数字产业化;;环保数字产业化;;环保数字产业化模式;;对策建议
智慧农业农村生态环境监测展望,莫莉; 费杨,生态环境部土壤与农业农村生态环境监管技术中心;,中国环境科学学会2021年科学技术年会论文集（三）,农业农村;;生态环境监测;;大数据;;人工智能;;物联网
论我国农业机械新技术的应用和发展前景,高源康; 张作森,东北农业大学;,现代农机,农业机械;;新技术;;应用;;发展前景
现代信息技术赋能“两山”理念实践,应劼正; 程翠云,杭州电子科技大学;生态环境部环境规划院;,中华环境,
教育部关于印发普通高中课程方案和语文等学科课程标准（2017年版2020年修订）的通知,,教育部;,中华人民共和国教育部公报,
我国建筑垃圾现状分析及其资源化利用进程发展,时乐,苏州科技大学天平学院;,建材与装饰,建筑垃圾;;资源化利用;;循环经济;;工程应用
5G网络技术对提升4G网络性能的研究,刘奕,湖南科技职业学院人工智能学院;,数码世界,4G网络;;5G技术;;网络性能
美丽中国建设的产业哲学研究,靳媛媛,湖南大学,湖南大学,美丽中国;;产业;;哲学;;产业实践论
政策工具视角下的智能制造战略政策量化研究,贺雪姣,武汉大学,武汉大学,智能制造;;技术创新;;政策文本内容文;;本量化分析;;优化路径
技术发展之生态转向,黎喻辉,南昌大学,南昌大学,技术;;生态;;范式
河南省人民政府办公厅关于印发河南省新型显示和智能终端产业发展行动方案等8个方案的通知,,河南省人民政府办公厅;,河南省人民政府公报,
天水市人民政府办公室关于印发天水市新一代人工智能发展实施方案的通知,,,天水市人民政府公报,
许昌市人民政府关于印发许昌市智能电力装备产业发展行动方案等9个方案的通知,,许昌市人民政府;,许昌市人民政府公报,
科技前沿,,,猪业科学,
科技风险规制过程中的行政法问题研究,张哲飞,中南财经政法大学,中南财经政法大学,科技风险;;行政法;;行政过程;;规制;;法律制度
人工智能技术在减少纺织服装行业碳排放中的发展与应用,佟欢; 刘洋洋,江南大学设计学院;清州大学;湖州职业技术学院艺术与时尚创意学院;,印染,人工智能技术;;纺织业;;碳排放;;可持续
智能化生产在纺织制造中的应用研究,王琮,淄博市传统产业发展中心;,上海服饰,智能化生产;;纺织制造;;生产效率;;产品质量
环保诉求下中国染整技术的演进,鄂晓湉,黑龙江大学,黑龙江大学,染整技术;;环境保护;;生态技术
行业动态,,,印染,
基于新一代信息技术的煤炭工业治理体系平台技术架构,胡亚辉; 周昱江; 庞义辉,中国矿业大学(北京)人工智能学院;中煤科工开采研究院有限公司;,煤炭科学技术,煤炭工业治理体系;;5G;;大数据;;人工智能;;区块链
人工智能技术与产业生态化转型,谭玉松,西北大学经济管理学院;,求是学刊,人工智能;;产业生态化;;绿色创新;;市场环境
数字园区建设中信息化应用研究与实践,任渊,内蒙古自治区政府办公厅综合保障中心;,北方经济,数字园区;;工业信息化;;人工智能;;物联网
人工智能赋能原材料工业新型工业化,钱锋,国家智能制造专家委员会;中国工程院;华东理工大学;华东理工大学国家流程制造智能调控技术创新中心;,智能制造,
冶金工业中的电气自动化技术应用研究,代明磊,南京钢铁联合有限公司;,冶金与材料,电气自动化技术;;冶金工业;;工艺:智能制造;;数字化转型
“双碳”背景下H环保公司数字产品创新策略研究,马艳兰,浙江工商大学,浙江工商大学,H环保公司;;数字创新;;产品创新;;分布式创新
技术赋能背景下环境法范式转型研究,黎梦兵,湘潭大学,湘潭大学,环境法范式;;技术赋能;;范式转型;;智慧型环境法范式
广州市人民政府办公厅关于印发广州市战略性新兴产业发展“十四五”规划的通知,,广州市人民政府办公厅;,广州市人民政府公报,
基于文本内容分析的人工智能政策研究,赵帅,东北财经大学,东北财经大学,人工智能政策;;公共政策分析;;文本内容分析
R工业互联网公司发展战略研究,靳朋伟,河北工业大学,河北工业大学,工业互联网;;绿色升级服务;;品牌;;发展战略
江苏省人民政府办公厅印发关于加快新型信息基础设施建设扩大信息消费若干政策措施的通知,,江苏省人民政府办公厅;,江苏省人民政府公报,
5G网络技术对提升4G网络性能的研究,刘奕,湖南科技职业学院人工智能学院;,数码世界,4G网络;;5G技术;;网络性能
环保产业进入政策“深耕时代”,,,资源节约与环保,
创新驱动高质量发展 中国制造迈向新时代——聚焦2019年中国装备制造业热点话题,王宁,,中国设备工程,
美丽中国建设的产业哲学研究,靳媛媛,湖南大学,湖南大学,美丽中国;;产业;;哲学;;产业实践论
政策工具视角下的智能制造战略政策量化研究,贺雪姣,武汉大学,武汉大学,智能制造;;技术创新;;政策文本内容文;;本量化分析;;优化路径
河南省人民政府办公厅关于印发河南省新型显示和智能终端产业发展行动方案等8个方案的通知,,河南省人民政府办公厅;,河南省人民政府公报,
许昌市人民政府关于印发许昌市智能电力装备产业发展行动方案等9个方案的通知,,许昌市人民政府;,许昌市人民政府公报,
浅析“计算机+电子信息技术”在人工智能中的应用——以智能机器人为例,赵璇,山东省单县第一中学;,数字通信世界,人工智能;;计算机技术;;电子信息技术;;智能机器人
中共北京市委 北京市人民政府关于印发加快科技创新构建高精尖经济结构系列文件的通知,,中共北京市委;北京市人民政府;,北京市人民政府公报,
swop 2024探索全球食品加工与包装的创新前沿——食品新生产系统、人工智能和可持续性,张聪,,食品安全导刊,
人工智能插画技术在食品包装中的应用,周亮,上海师范大学天华学院;,绿色包装,人工智能;;插画技术;;食品包装;;包装设计
2024第15届中国印刷与包装学术年会暨产学研协同创新论坛,,,印刷与数字媒体技术研究,
基于人工智能的包装设计研究,曾强,江苏省交通技师学院;,上海包装,人工智能;;包装设计;;可持续包装
人工智能技术在纸包装中的作用,刘莉琳,西安财经大学;,中国造纸,
新媒体背景下包装设计的数字化转型与发展趋势,邢璎凡,福州软件职业技术学院;,上海包装,数字化转型;;新媒体;;包装设计;;可持续性
人工智能在包装设计中的应用研究,王超,绵阳城市学院;,上海包装,人工智能;;包装设计;;优化应用;;机器学习;;自动化设计
智能制造工程中的可持续发展与绿色制造研究,李程旭,东北大学;,现代工业经济和信息化,智能制造工程;;可持续发展;;绿色制造
人工智能技术在食品智能包装设计中的应用及创新实践,毛明,浙江纺织服装职业技术学院;,包装工程,智能包装技术;;传感器;;电子标签;;人工智能算法;;预测模型;;自动化决策;;数据分析;;食品安全性
人工智能辅助技术在包装设计中的应用研究,濮子涵,江南大学,江南大学,人工智能技术;;包装设计;;化妆品设计;;图案设计
基于人工智能的插画设计在“滚烫年代”包装设计中的应用,李陈,河北科技大学,河北科技大学,预制食品;;设计应用;;人工智能;;插画设计;;包装设计
2023第14届中国印刷与包装学术年会,,,印刷与数字媒体技术研究,
2022第13届中国印刷与包装学术年会,,,数字印刷,
“互联网+林业”的技术驱动效应与三维建设路径研究,吴琳,南京林业大学,南京林业大学,“互联网+林业”;;互联网技术;;林业产业;;驱动效应;;三维管理金字塔理论
人工智能赋能农产品包装设计研究,张清淼,河南工业大学,河南工业大学,人工智能;;数字技术;;农产品包装;;界面交互设计
碳中和背景下绿色快递物流发展应对策略研究,周斌; 卞玲玲,江苏农牧科技职业学院;,营销界,碳中和;;绿色包装;;无人机配送;;可降解塑料袋;;拉链式拆封纸盒
基于智慧物流的快递包装设计研究,张晨晨,湖北工业大学,湖北工业大学,快递包装;;智慧物流;;利益相关者;;服务设计
电商产品包装的回收与再利用设计研究,魏文潞,沈阳师范大学,沈阳师范大学,电商产品包装;;创新设计;;回收;;再利用设计
2018年印刷包装行业发展节奏如何把握,本刊辑,,广东印刷,
产业动态,,,绿色包装,
“人工智能+”热电产业的引领与示范,夏建涛,国务院国资委机械工业经济管理研究院;全应科技;,智慧中国,
热电生产的智能调控及其关键技术,王栋; 党海峰; 夏建涛; 杨宝刚; 陈铭甬,上海全应科技有限公司;用友网络科技有限公司;宁波众茂杭州湾热电有限公司;,新型工业化,热电生产;;智能调控;;工业互联网
“双碳”背景下H环保公司数字产品创新策略研究,马艳兰,浙江工商大学,浙江工商大学,H环保公司;;数字创新;;产品创新;;分布式创新
柔性无机半导体薄膜的印刷制备与性能研究,袁云欢,哈尔滨工业大学,哈尔滨工业大学,印刷电子;;柔韧性;;无机半导体;;热电性能;;加密应用
能源互联网背景下的区域分布式能源系统规划研究,陈娟,华北电力大学(北京),华北电力大学(北京),能源互联网;;区域分布式能源系统;;信息物理融合模型;;容量优化;;站网布局;;规划
简述环境监测技术的发展趋势与挑战,贾玉军,聊城市茌平区环境监控中心;,皮革制作与环保科技,环境监测技术;;发展趋势;;智能化;;监测设备;;监测系统
浅谈数字化技术在生态环境保护中的作用,王慧萍,甘肃省白银生态环境监测中心;,皮革制作与环保科技,数字化技术;;数据安全;;可持续环境保护
数字化转型在绿色建筑施工中的应用,赵洪斌,中国建筑第四工程局有限公司;,佛山陶瓷,绿色;;低碳;;环保;;数字化转型
信息技术在环保领域的应用实践与探索,郭子豪,湘潭大学;,河北省环境科学学会2023年科学技术年会论文集,环境监测;;数据分析;;污染控制;;生态修复
物联网技术在环境监测与污染控制领域的先进应用与未来展望,吴胜旗,杭州职业技术学院;,第五届创新教育与发展学术会议论文集（一）,物联网技术;;环境监测;;污染控制;;传感器技术
环境治理中生态环境大数据应用风险的法律规制研究,王东,华中科技大学,华中科技大学,法律规制;;生态环境大数据;;环境问题;;环境监管;;预防性诉讼
加强生态环境监测的建议探讨,王仕明,铜仁市生态环境局石阡分局;,低碳世界,生态环境;;环境监测;;对策探讨
生态环境监管领域中的人工智能技术应用研究,王加军,扬州市高邮生态环境局;,大众标准化,生态环境监管;;人工智能技术;;应用
5G在生态环保工作中有啥用,勒伟青; 令狐兴兵,湖南省生态环境事务中心;,环境与生活,
技术赋能背景下环境法范式转型研究,黎梦兵,湘潭大学,湘潭大学,环境法范式;;技术赋能;;范式转型;;智慧型环境法范式
环保数字产业化的模式研究与对策建议,于小溪,河北经贸大学,河北经贸大学,数字产业化;;环保数字产业化;;环保数字产业化模式;;对策建议
智慧农业农村生态环境监测展望,莫莉; 费杨,生态环境部土壤与农业农村生态环境监管技术中心;,中国环境科学学会2021年科学技术年会论文集（三）,农业农村;;生态环境监测;;大数据;;人工智能;;物联网
智能机器人控制系统技术在环境监测中的应用,谢欣,中国石油集团川庆钻探工程有限公司安全环保质量监督检测研究院;,环境与发展,环境监测;;智能机器人;;控制系统
人工智能在环境监测中的应用分析,段玲玲; 赵铭珊,云南天倪检测有限公司;昆明市环境监测中心;,环境与发展,人工智能;;环境监测;;传感器
环境监测中的数据处理与质量控制方法研究,廖炜,上海市闵行区环境监测站;,资源节约与环保,环境监测;;数据处理;;质量控制;;统计分析
5G与AI融合技术在智慧环保领域的应用研究,费彦肖; 吴俊星,上海浦东智慧城市发展研究院;上海环境保护有限公司;,智能城市,智慧环保;;5G与人工智能融合技术;;环保数据;;生态环境
遥感监测在新型智慧环保发展中的应用,黄华,重庆市江北区生态环境监测站;,教育理论研究（第九辑）,遥感监测;;智慧环保;;物联网;;人工智能
河南省人民政府办公厅关于印发河南省新型显示和智能终端产业发展行动方案等8个方案的通知,,河南省人民政府办公厅;,河南省人民政府公报,
数字经济时代的技术融合与应用创新趋势分析,陈晓红,湖南商学院;,社会科学家,智慧城市;;智慧环保;;数字新技术;;应用创新;;湘江流域;;长株潭地区
我国绿色船厂构建研究,马强,大连海事大学,大连海事大学,绿色船厂;;层次分析法;;指标体系;;评价方法;;绿色治理
